!gaf-version: 2.2
!date-generated:2023-03-28
!generated-by: AgBase

Database	DB_Object_ID	DB_Object_Symbol	Qualifier	GO_ID	DB_Reference	Evidence_Code	With_From	Aspect	DB_Object_Name	DB_Object_Synonyms	DB_Object_Type	Taxon	Date	Assigned_By	Annotation_Extension	Gene_Product_Form_Id
Refseq	XP_018218771.1	XP_018218771.1	enables	GO:0016020	GO_REF:0000002	IEA	InterPro:IPR004841	C	XP_018218771.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218771.1	XP_018218771.1	involved_in	GO:0055085	GO_REF:0000002	IEA	InterPro:IPR004841	P	XP_018218771.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218774.1	XP_018218774.1	enables	GO:0046933	GO_REF:0000002	IEA	InterPro:IPR006721	F	XP_018218774.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218774.1	XP_018218774.1	involved_in	GO:0000275	GO_REF:0000002	IEA	InterPro:IPR006721	C	XP_018218774.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218774.1	XP_018218774.1	involved_in	GO:0015986	GO_REF:0000002	IEA	InterPro:IPR006721	P	XP_018218774.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218775.1	XP_018218775.1	enables	GO:0005524	GO_REF:0000002	IEA	InterPro:IPR011527|InterPro:IPR003439	F	XP_018218775.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218775.1	XP_018218775.1	enables	GO:0016021	GO_REF:0000002	IEA	InterPro:IPR011527	C	XP_018218775.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218775.1	XP_018218775.1	enables	GO:0016887	GO_REF:0000002	IEA	InterPro:IPR003439	F	XP_018218775.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218775.1	XP_018218775.1	enables	GO:0042626	GO_REF:0000002	IEA	InterPro:IPR011527	F	XP_018218775.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218775.1	XP_018218775.1	involved_in	GO:0055085	GO_REF:0000002	IEA	InterPro:IPR011527	P	XP_018218775.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218776.1	XP_018218776.1	enables	GO:0004435	GO_REF:0000002	IEA	InterPro:IPR001711	F	XP_018218776.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218776.1	XP_018218776.1	involved_in	GO:0006629	GO_REF:0000002	IEA	InterPro:IPR001711	P	XP_018218776.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218776.1	XP_018218776.1	involved_in	GO:0007165	GO_REF:0000002	IEA	InterPro:IPR001711	P	XP_018218776.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218776.1	XP_018218776.1	involved_in	GO:0035556	GO_REF:0000002	IEA	InterPro:IPR001711	P	XP_018218776.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218779.1	XP_018218779.1	involved_in	GO:0016020	GO_REF:0000002	IEA	InterPro:IPR004841	C	XP_018218779.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218779.1	XP_018218779.1	involved_in	GO:0055085	GO_REF:0000002	IEA	InterPro:IPR004841	P	XP_018218779.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218780.1	XP_018218780.1	involved_in	GO:0016020	GO_REF:0000002	IEA	InterPro:IPR000620	C	XP_018218780.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218780.1	XP_018218780.1	involved_in	GO:0016021	GO_REF:0000002	IEA	InterPro:IPR000620	C	XP_018218780.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218782.1	XP_018218782.1	enables	GO:0016829	GO_REF:0000002	IEA	InterPro:IPR018951	F	XP_018218782.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218782.1	XP_018218782.1	involved_in	GO:0006099	GO_REF:0000002	IEA	InterPro:IPR018951	P	XP_018218782.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218788.1	XP_018218788.1	enables	GO:0070461	GO_REF:0000002	IEA	InterPro:IPR024738	C	XP_018218788.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218789.1	XP_018218789.1	enables	GO:0008017	GO_REF:0000002	IEA	InterPro:IPR031852	F	XP_018218789.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218790.1	XP_018218790.1	enables	GO:0009055	GO_REF:0000002	IEA	InterPro:IPR001041	F	XP_018218790.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218790.1	XP_018218790.1	enables	GO:0051536	GO_REF:0000002	IEA	InterPro:IPR001041	F	XP_018218790.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218792.1	XP_018218792.1	enables	GO:0003735	GO_REF:0000002	IEA	InterPro:IPR000509	F	XP_018218792.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218792.1	XP_018218792.1	enables	GO:0005840	GO_REF:0000002	IEA	InterPro:IPR000509	C	XP_018218792.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218792.1	XP_018218792.1	involved_in	GO:0006412	GO_REF:0000002	IEA	InterPro:IPR000509	P	XP_018218792.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218794.1	XP_018218794.1	enables	GO:0000981	GO_REF:0000002	IEA	InterPro:IPR001138	F	XP_018218794.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218794.1	XP_018218794.1	enables	GO:0003677	GO_REF:0000002	IEA	InterPro:IPR007219	F	XP_018218794.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218794.1	XP_018218794.1	enables	GO:0008270	GO_REF:0000002	IEA	InterPro:IPR001138|InterPro:IPR007219	F	XP_018218794.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218794.1	XP_018218794.1	involved_in	GO:0005634	GO_REF:0000002	IEA	InterPro:IPR007219	C	XP_018218794.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218794.1	XP_018218794.1	involved_in	GO:0006351	GO_REF:0000002	IEA	InterPro:IPR007219	P	XP_018218794.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218794.1	XP_018218794.1	involved_in	GO:0006355	GO_REF:0000002	IEA	InterPro:IPR001138	P	XP_018218794.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218794.1	XP_018218794.1	involved_in	GO:0042025	GO_REF:0000002	IEA	InterPro:IPR001138	C	XP_018218794.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218796.1	XP_018218796.1	enables	GO:0004252	GO_REF:0000002	IEA	InterPro:IPR022764	F	XP_018218796.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218796.1	XP_018218796.1	involved_in	GO:0016021	GO_REF:0000002	IEA	InterPro:IPR022764	C	XP_018218796.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218798.1	XP_018218798.1	involved_in	GO:0055085	GO_REF:0000002	IEA	InterPro:IPR013657	P	XP_018218798.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218799.1	XP_018218799.1	enables	GO:0005047	GO_REF:0000002	IEA	InterPro:IPR026258	F	XP_018218799.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218799.1	XP_018218799.1	enables	GO:0008312	GO_REF:0000002	IEA	InterPro:IPR026258	F	XP_018218799.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218799.1	XP_018218799.1	enables	GO:0030942	GO_REF:0000002	IEA	InterPro:IPR026258	F	XP_018218799.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218799.1	XP_018218799.1	involved_in	GO:0005786	GO_REF:0000002	IEA	InterPro:IPR026258	C	XP_018218799.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218799.1	XP_018218799.1	involved_in	GO:0006614	GO_REF:0000002	IEA	InterPro:IPR026258	P	XP_018218799.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218800.1	XP_018218800.1	involved_in	GO:0043087	GO_REF:0000002	IEA	InterPro:IPR001936	P	XP_018218800.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218802.1	XP_018218802.1	enables	GO:0005524	GO_REF:0000002	IEA	InterPro:IPR001404	F	XP_018218802.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218802.1	XP_018218802.1	enables	GO:0051082	GO_REF:0000002	IEA	InterPro:IPR001404	F	XP_018218802.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218802.1	XP_018218802.1	involved_in	GO:0006457	GO_REF:0000002	IEA	InterPro:IPR001404	P	XP_018218802.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218804.1	XP_018218804.1	enables	GO:0003743	GO_REF:0000002	IEA	InterPro:IPR002735	F	XP_018218804.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218804.1	XP_018218804.1	involved_in	GO:0006413	GO_REF:0000002	IEA	InterPro:IPR002735	P	XP_018218804.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218805.1	XP_018218805.1	enables	GO:0004672	GO_REF:0000002	IEA	InterPro:IPR000719	F	XP_018218805.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218805.1	XP_018218805.1	enables	GO:0005524	GO_REF:0000002	IEA	InterPro:IPR000719	F	XP_018218805.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218805.1	XP_018218805.1	involved_in	GO:0006468	GO_REF:0000002	IEA	InterPro:IPR000719	P	XP_018218805.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218806.1	XP_018218806.1	enables	GO:0003678	GO_REF:0000002	IEA	InterPro:IPR010339	F	XP_018218806.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218806.1	XP_018218806.1	enables	GO:0005524	GO_REF:0000002	IEA	InterPro:IPR010339	F	XP_018218806.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218807.1	XP_018218807.1	enables	GO:0015078	GO_REF:0000002	IEA	InterPro:IPR002379	F	XP_018218807.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218807.1	XP_018218807.1	enables	GO:0033177	GO_REF:0000002	IEA	InterPro:IPR002379	C	XP_018218807.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218807.1	XP_018218807.1	involved_in	GO:1902600	GO_REF:0000002	IEA	InterPro:IPR002379	P	XP_018218807.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218808.1	XP_018218808.1	involved_in	GO:0000070	GO_REF:0000002	IEA	InterPro:IPR013950	P	XP_018218808.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218808.1	XP_018218808.1	involved_in	GO:0000776	GO_REF:0000002	IEA	InterPro:IPR013950	C	XP_018218808.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218809.1	XP_018218809.1	involved_in	GO:0016020	GO_REF:0000002	IEA	InterPro:IPR006011	C	XP_018218809.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218810.1	XP_018218810.1	enables	GO:0000287	GO_REF:0000002	IEA	InterPro:IPR008278	F	XP_018218810.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218810.1	XP_018218810.1	enables	GO:0008897	GO_REF:0000002	IEA	InterPro:IPR008278	F	XP_018218810.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218813.1	XP_018218813.1	enables	GO:0004651	GO_REF:0000002	IEA	InterPro:IPR004206	F	XP_018218813.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218815.1	XP_018218815.1	enables	GO:0005524	GO_REF:0000002	IEA	InterPro:IPR003439	F	XP_018218815.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218815.1	XP_018218815.1	enables	GO:0016887	GO_REF:0000002	IEA	InterPro:IPR003439	F	XP_018218815.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218817.1	XP_018218817.1	enables	GO:0008324	GO_REF:0000002	IEA	InterPro:IPR002524	F	XP_018218817.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218817.1	XP_018218817.1	involved_in	GO:0006812	GO_REF:0000002	IEA	InterPro:IPR002524	P	XP_018218817.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218817.1	XP_018218817.1	involved_in	GO:0016021	GO_REF:0000002	IEA	InterPro:IPR002524	C	XP_018218817.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218817.1	XP_018218817.1	involved_in	GO:0055085	GO_REF:0000002	IEA	InterPro:IPR002524	P	XP_018218817.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218823.1	XP_018218823.1	enables	GO:0019901	GO_REF:0000002	IEA	InterPro:IPR013922	F	XP_018218823.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218823.1	XP_018218823.1	involved_in	GO:0000079	GO_REF:0000002	IEA	InterPro:IPR013922	P	XP_018218823.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218824.1	XP_018218824.1	enables	GO:0005524	GO_REF:0000002	IEA	InterPro:IPR003959	F	XP_018218824.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218824.1	XP_018218824.1	enables	GO:0005634	GO_REF:0000002	IEA	InterPro:IPR012948	C	XP_018218824.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218824.1	XP_018218824.1	involved_in	GO:0042254	GO_REF:0000002	IEA	InterPro:IPR012948	P	XP_018218824.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218827.1	XP_018218827.1	enables	GO:0004417	GO_REF:0000002	IEA	InterPro:IPR000417	F	XP_018218827.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218827.1	XP_018218827.1	involved_in	GO:0009228	GO_REF:0000002	IEA	InterPro:IPR000417	P	XP_018218827.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218829.1	XP_018218829.1	enables	GO:0003723	GO_REF:0000002	IEA	InterPro:IPR020097	F	XP_018218829.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218829.1	XP_018218829.1	enables	GO:0009982	GO_REF:0000002	IEA	InterPro:IPR020097	F	XP_018218829.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218829.1	XP_018218829.1	involved_in	GO:0001522	GO_REF:0000002	IEA	InterPro:IPR020097	P	XP_018218829.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218829.1	XP_018218829.1	involved_in	GO:0009451	GO_REF:0000002	IEA	InterPro:IPR020097	P	XP_018218829.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218831.1	XP_018218831.1	enables	GO:0008312	GO_REF:0000002	IEA	InterPro:IPR013699	F	XP_018218831.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218831.1	XP_018218831.1	enables	GO:0048500	GO_REF:0000002	IEA	InterPro:IPR013699	C	XP_018218831.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218831.1	XP_018218831.1	involved_in	GO:0006614	GO_REF:0000002	IEA	InterPro:IPR013699	P	XP_018218831.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218832.1	XP_018218832.1	enables	GO:0004672	GO_REF:0000002	IEA	InterPro:IPR000719	F	XP_018218832.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218832.1	XP_018218832.1	enables	GO:0005524	GO_REF:0000002	IEA	InterPro:IPR000719	F	XP_018218832.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218832.1	XP_018218832.1	involved_in	GO:0006468	GO_REF:0000002	IEA	InterPro:IPR000719	P	XP_018218832.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218834.1	XP_018218834.1	enables	GO:0003824	GO_REF:0000002	IEA	InterPro:IPR007197	F	XP_018218834.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218834.1	XP_018218834.1	enables	GO:0010181	GO_REF:0000002	IEA	InterPro:IPR008254	F	XP_018218834.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218834.1	XP_018218834.1	enables	GO:0051536	GO_REF:0000002	IEA	InterPro:IPR007197	F	XP_018218834.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218835.1	XP_018218835.1	enables	GO:0008081	GO_REF:0000002	IEA	InterPro:IPR030395	F	XP_018218835.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218835.1	XP_018218835.1	involved_in	GO:0006629	GO_REF:0000002	IEA	InterPro:IPR030395	P	XP_018218835.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218836.1	XP_018218836.1	enables	GO:0004672	GO_REF:0000002	IEA	InterPro:IPR000719	F	XP_018218836.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218836.1	XP_018218836.1	enables	GO:0005524	GO_REF:0000002	IEA	InterPro:IPR000719	F	XP_018218836.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218836.1	XP_018218836.1	involved_in	GO:0006468	GO_REF:0000002	IEA	InterPro:IPR000719	P	XP_018218836.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218837.1	XP_018218837.1	enables	GO:0004672	GO_REF:0000002	IEA	InterPro:IPR000719	F	XP_018218837.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218837.1	XP_018218837.1	enables	GO:0005524	GO_REF:0000002	IEA	InterPro:IPR000719	F	XP_018218837.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218837.1	XP_018218837.1	involved_in	GO:0006468	GO_REF:0000002	IEA	InterPro:IPR000719	P	XP_018218837.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218838.1	XP_018218838.1	enables	GO:0000981	GO_REF:0000002	IEA	InterPro:IPR014842	F	XP_018218838.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218838.1	XP_018218838.1	involved_in	GO:0036086	GO_REF:0000002	IEA	InterPro:IPR014842	P	XP_018218838.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218844.1	XP_018218844.1	enables	GO:0030896	GO_REF:0000002	IEA	InterPro:IPR007268	C	XP_018218844.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218844.1	XP_018218844.1	involved_in	GO:0000077	GO_REF:0000002	IEA	InterPro:IPR007268	P	XP_018218844.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218847.1	XP_018218847.1	enables	GO:0004843	GO_REF:0000002	IEA	InterPro:IPR033979	F	XP_018218847.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218847.1	XP_018218847.1	enables	GO:1990380	GO_REF:0000002	IEA	InterPro:IPR033979	F	XP_018218847.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218848.1	XP_018218848.1	enables	GO:0003676	GO_REF:0000002	IEA	InterPro:IPR000504	F	XP_018218848.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218849.1	XP_018218849.1	involved_in	GO:0033617	GO_REF:0000002	IEA	InterPro:IPR031459	P	XP_018218849.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218851.1	XP_018218851.1	enables	GO:0003951	GO_REF:0000002	IEA	InterPro:IPR002504	F	XP_018218851.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218851.1	XP_018218851.1	involved_in	GO:0006741	GO_REF:0000002	IEA	InterPro:IPR002504	P	XP_018218851.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218852.1	XP_018218852.1	enables	GO:0000772	GO_REF:0000002	IEA	InterPro:IPR006742	F	XP_018218852.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218852.1	XP_018218852.1	enables	GO:0005576	GO_REF:0000002	IEA	InterPro:IPR008675|InterPro:IPR006742	C	XP_018218852.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218852.1	XP_018218852.1	involved_in	GO:0007618	GO_REF:0000002	IEA	InterPro:IPR008675	P	XP_018218852.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218852.1	XP_018218852.1	involved_in	GO:0019953	GO_REF:0000002	IEA	InterPro:IPR006742	P	XP_018218852.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218854.1	XP_018218854.1	enables	GO:0003676	GO_REF:0000002	IEA	InterPro:IPR000504	F	XP_018218854.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218855.1	XP_018218855.1	enables	GO:0003735	GO_REF:0000002	IEA	InterPro:IPR000473	F	XP_018218855.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218855.1	XP_018218855.1	involved_in	GO:0005840	GO_REF:0000002	IEA	InterPro:IPR000473	C	XP_018218855.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218855.1	XP_018218855.1	involved_in	GO:0006412	GO_REF:0000002	IEA	InterPro:IPR000473	P	XP_018218855.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218858.1	XP_018218858.1	enables	GO:0031931	GO_REF:0000002	IEA	InterPro:IPR018857	C	XP_018218858.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218858.1	XP_018218858.1	involved_in	GO:0031929	GO_REF:0000002	IEA	InterPro:IPR018857	P	XP_018218858.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218859.1	XP_018218859.1	enables	GO:0016787	GO_REF:0000002	IEA	InterPro:IPR004843	F	XP_018218859.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218860.1	XP_018218860.1	enables	GO:0003676	GO_REF:0000002	IEA	InterPro:IPR000504	F	XP_018218860.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218861.1	XP_018218861.1	enables	GO:0003677	GO_REF:0000002	IEA	InterPro:IPR008422	F	XP_018218861.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218861.1	XP_018218861.1	involved_in	GO:0006355	GO_REF:0000002	IEA	InterPro:IPR008422	P	XP_018218861.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218863.1	XP_018218863.1	involved_in	GO:0006506	GO_REF:0000002	IEA	InterPro:IPR013234	P	XP_018218863.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218865.1	XP_018218865.1	enables	GO:0016021	GO_REF:0000002	IEA	InterPro:IPR000537	C	XP_018218865.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218865.1	XP_018218865.1	enables	GO:0016765	GO_REF:0000002	IEA	InterPro:IPR000537	F	XP_018218865.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218866.1	XP_018218866.1	enables	GO:0010181	GO_REF:0000002	IEA	InterPro:IPR001155	F	XP_018218866.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218866.1	XP_018218866.1	enables	GO:0016491	GO_REF:0000002	IEA	InterPro:IPR001155	F	XP_018218866.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218866.1	XP_018218866.1	involved_in	GO:0055114	GO_REF:0000002	IEA	InterPro:IPR001155	P	XP_018218866.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218868.1	XP_018218868.1	involved_in	GO:0005634	GO_REF:0000002	IEA	InterPro:IPR005637	C	XP_018218868.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218868.1	XP_018218868.1	involved_in	GO:0051028	GO_REF:0000002	IEA	InterPro:IPR005637	P	XP_018218868.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218870.1	XP_018218870.1	enables	GO:0000166	GO_REF:0000002	IEA	InterPro:IPR006134	F	XP_018218870.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218870.1	XP_018218870.1	enables	GO:0003677	GO_REF:0000002	IEA	InterPro:IPR006134	F	XP_018218870.1		protein	taxon:1080349	20230328	AgBase		
